feature,logFC,pVal,FDR
H19,6.126459057921735,0.0,0.0
Lgals1,5.788218635199178,0.0,0.0
Tpm1,5.7595359275533715,0.0,0.0
Hspb1,5.732685587329012,0.0,0.0
Ifitm3,5.687024877348097,0.0,0.0
Anxa2,4.928514108191806,0.0,0.0
Ctsl,4.920057951288265,0.0,0.0
S100a11,4.8958196037132105,0.0,0.0
Anxa5,4.192138876718478,0.0,0.0
Rbpms,4.084290283631943,0.0,0.0
Crip1,4.981651966340597,3.5963e-320,5.936844e-317
Serpinh1,4.235284842722152,2.47570285e-315,3.746357335077e-312
Col4a1,4.77351109240092,1.5240356653989998e-304,2.1288433575369567e-301
Mgp,5.896265171590456,4.9466757419039394e-303,6.416191771230975e-300
Fosb,4.38470060982547,2.559604458693994e-301,3.0986571576949486e-298
Tnnt2,7.519882416566602,2.0464900178718534e-295,2.3226382646584367e-292
Junb,4.438566821457743,4.539467375610453e-295,4.848952239630013e-292
Myl12a,3.19504460411651,1.54887555722788e-294,1.5625572913167263e-291
Klf2,4.946141366311196,8.759908136323113e-292,8.372166939341652e-289
Zfp36,4.603785029452105,5.545723500532685e-291,5.035239652308652e-288
Egr1,4.6689978806580195,7.702378024119752e-291,6.660356311428123e-288
Ahnak,4.127324467755908,1.5611234399491018e-288,1.288565479365261e-285
Atf3,4.903127889829196,5.436251582307831e-287,4.292038803614257e-284
Rrbp1,3.609700420756982,5.662292806362339e-279,4.284232294613905e-276
Xist,4.762408320883957,3.118401975825993e-278,2.2650824591609682e-275
Actc1,7.999583432227933,5.827253025019298e-274,4.0698879877432856e-271
Nfkbia,3.9630540234658116,9.661229607713978e-264,6.497713646165856e-261
Aldoa,3.0634622276813857,5.0775294676846e-263,3.292959200131595e-260
Fstl1,4.0405155122548,4.6770104801723935e-256,2.9286149417051895e-253
Col3a1,6.672303882212672,5.2216772903118285e-253,3.1606812638257496e-250
Cryab,4.862207831791712,1.0810752278524743e-251,6.332659697604219e-249
Eln,6.64490804056818,8.651850182755873e-251,4.909654608395747e-248
Col4a2,4.023525521055791,2.4772150884646825e-247,1.3631439027706111e-244
Sox11,-5.105524050297058,3.235989056007516e-244,1.728303684354132e-241
Rtn1,-4.990444375292802,2.542301646889931e-243,1.3190187315964073e-240
Arpc1b,3.701481601995047,2.1086654477475024e-239,1.0636459962679693e-236
Col1a2,6.601823512868313,1.7672923411607426e-237,8.67358422246971e-235
Cavin1,3.7101979112270596,7.657589705528859e-236,3.6593203016499618e-233
Btg2,3.328888311296118,4.168451374637611e-233,1.94089509005242e-230
Tnni1,5.709749030720116,4.3268241949577315e-233,1.9642700139059361e-230
Tubb3,-6.273445970181237,6.3722825434120655e-233,2.8222994806297486e-230
Fn1,4.137595853849079,8.225505956278024e-226,3.556356253810777e-223
Tnnc1,6.339335877461181,5.0870741440435255e-222,2.148283241434567e-219
B2m,3.7645357964656516,4.700753559104459e-221,1.9400223609040424e-218
Gata6,3.7184334672129267,2.744920451913093e-219,1.1076668996953302e-216
Myl6,2.0726968419096687,2.172949210614817e-218,8.577953199033579e-216
Ppic,3.536874445897166,1.0075856528556863e-216,3.89292507876732e-214
Tnni3,6.1006562275028156,1.8370199537804145e-215,6.94967611264553e-213
Tubb2b,-4.40098212651511,2.0042955992173162e-215,7.42775587473209e-213
Socs3,3.9707759281730164,2.6279373370490306e-214,9.544142820694668e-212
Sparc,5.947754572169971,2.81305397074231e-213,1.0016126873472472e-210
Timp3,3.781634267526438,6.052806660684395e-213,2.1137099259878448e-210
Ier3,3.7700962572969674,2.9918884312790832e-210,1.025088717426356e-207
Lmna,3.4996929634211553,5.780564326456565e-210,1.9438753260023105e-207
Ckm,6.041200611632674,7.725026028207028e-208,2.5505226844765715e-205
Klf4,3.8741794948118202,7.25170009384396e-207,2.3514932500734373e-204
Col1a1,6.92867247971095,9.537499304048e-206,3.0384464888106604e-203
Bgn,4.565274091839745,1.1079478782362987e-204,3.4688319863608533e-202
Cebpb,4.050957208628479,1.2493561186745705e-201,3.845264026951106e-199
Ier2,3.2723280140785156,3.662918493664342e-201,1.1085822821075132e-198
Nsg2,-4.592463581742257,3.902774105957194e-201,1.1618110654110931e-198
Ifitm2,3.1588303248888896,3.98802822954482e-201,1.1680420100049095e-198
Hspg2,3.5809337207968106,7.432031785507888e-200,2.1421946856037734e-197
Txnip,3.1557048064304536,1.887867310703434e-197,5.356528514853697e-195
Tagln2,4.122157313879469,2.4548272963122435e-197,6.85803213442062e-195
Hspa5,2.489090054824243,1.1337414962283281e-196,3.119335125759123e-194
Myl3,6.783917479529646,1.4471734620714181e-193,3.9222720742917735e-191
Myl2,7.5616586260507885,2.4151762586849735e-192,6.449586129626535e-190
Myl7,7.020285575891358,4.072910862569487e-191,1.0718838891797001e-188
mt-Nd3,2.0192951077678223,9.423616347912401e-191,2.4446207037391612e-188
Zfp36l1,3.5008573517606116,4.602472092823005e-190,1.177130855402436e-187
Adamts1,3.598329254999349,2.5979775548454928e-189,6.552315891449904e-187
Basp1,-4.012791982768079,8.910251717867213e-188,2.216455629380147e-185
Gria2,-5.288480652304009,2.8623834928754524e-186,7.02405700636829e-184
Myl9,4.6923800404395966,4.2519259514920466e-186,1.0294763113752543e-183
mt-Co1,1.927779998766809,7.204938788060401e-185,1.7215063612156425e-182
Myh6,5.957241964659962,1.0928572997472914e-184,2.5772981436507875e-182
Itgb1,2.671439459016017,1.7150962012920288e-184,3.9928758870848656e-182
Cstb,3.3518479069824503,1.0481822238764775e-183,2.409359620680121e-181
mt-Nd5,2.3044464271554004,5.599159454305251e-183,1.2709392066341133e-180
Elavl3,-4.444348170435786,1.1971151196244548e-182,2.683754747809935e-180
Acta2,5.434597630966874,1.3206939258822413e-182,2.9246928048897096e-180
Col6a1,4.020055310909795,2.7273535951222786e-179,5.96698963058138e-177
Col5a1,3.7587529572238734,5.0455340299573796e-175,1.0907363386904292e-172
Rbms1,3.1303730698908634,2.155559776616658e-174,4.6050364686566927e-172
Fabp3,4.024093533455806,1.4509930088438315e-173,3.063788610185481e-171
Igfbpl1,-5.425861278433683,6.11532305443234e-173,1.2764155327061708e-170
mt-Nd1,1.9105073747432777,2.10055019926492e-171,4.334533075960418e-169
Gadd45b,3.3519357958259035,6.7774177655163195e-171,1.38282167644956e-168
Clic1,2.707583771043869,8.460428004052217e-171,1.7070323569509358e-168
Cnn2,3.2104636727681273,5.6658851112794156e-170,1.1306242608321199e-167
Csrp3,5.072161434754534,1.5791547034658588e-169,3.116942419590927e-167
Cavin2,3.6585764444262927,1.865084604744158e-169,3.641728100811738e-167
Tm4sf1,4.049495529459343,2.5791525924518263e-169,4.9824289283332674e-167
Klf6,2.8605410101727795,2.714533404773376e-169,5.1887591681347084e-167
Cox6a2,5.252751886219994,3.0498134211828537e-169,5.7689126995061914e-167
Gsn,3.5974417372618985,3.889031154432256e-169,7.280506879725293e-167
Col5a2,3.642721467718564,4.711790788700932e-169,8.730756013471451e-167
Rcn3,3.3516369189760744,5.612133202617849e-169,1.0294012810741165e-166
Csrp1,3.109274547084321,3.3798203642760574e-168,6.137415799488892e-166

