cluster,diversity,size
7,1.0,20
9,1.0,4
10,1.0,6
14,1.8898815748423097,6
15,1.0,14
17,1.0,3
18,1.0,15
21,1.0,18
22,1.7547653506033232,4
24,1.9796263300525183,7
25,1.0,2
28,1.0,26
29,1.6779928954515926,47
34,1.0,19
35,1.0,18
37,1.0,12
38,1.0,23
40,1.0,17
41,1.0,22
45,1.0,21
46,1.0,29
47,1.0,5
49,1.0,13
50,1.0,17
55,1.5069930657725377,7
56,1.0,5
58,1.7547653506033232,4
60,1.0,4
61,1.0,2
65,1.0,18
66,1.0,8
67,1.0,42
70,1.0,17
71,1.0,6
72,1.0,29
76,1.0,25
77,1.0,22
80,1.0,22
81,1.0,24
82,1.0,28
86,1.0,14
87,1.0,13
88,1.0,30
90,1.0,29
92,1.0,15
93,1.0,23
98,1.0,13
99,1.0,6
100,1.0,31
104,1.7547653506033232,4
105,1.0,6
106,1.0,6
108,1.0,11
109,1.0,13
113,1.8898815748423097,6
114,1.0,3
115,1.0,15
117,1.0,26
119,1.0,9
120,1.0,22
126,1.0,54
128,1.0,57
129,1.0,22
132,1.0,35
133,1.0,27
134,1.0,54
137,1.0,62
138,1.0,67
141,1.0,30
143,1.0,3
144,1.0,3
146,1.0,29
147,1.0,36
152,1.0,11
153,1.0,18
156,1.0,11
157,1.0,25
159,1.0,25
160,1.0,29
163,1.0,34
166,1.0,7
167,1.0,10
168,1.0,18
171,1.0,12
172,1.0,2
173,1.0,15
178,1.0,17
179,1.0,13
182,1.0,13
183,1.0,13
184,1.0,4
187,1.0,11
188,1.0,7
190,1.0,15
191,1.0,10
194,1.0,34
195,1.0,19
196,1.0,45
201,1.0,10
202,1.0,4
203,1.0,31
205,1.0,39
207,1.0,7
208,1.0,10
212,1.0,52
213,1.0,28
215,1.0,29
217,1.0,18
218,1.0,14
221,1.0,22
222,1.0,18
223,1.0,20
225,1.5691925832141966,12
227,1.5386123376857317,84
229,1.376701744313703,41
230,1.8420227750373133,50
